,territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,area,codice_istat
53,Molise,2021,13.66666666666667,367.0,11.6,12.3,63.2,18.9,0.0,5.1,,39.740099009900995,31.9,1.95,37.8,47.1,7.6,5.2,63.1,4.1,32.4,21700.12525238745,66.3,56.8,40.6,9.7,24.9135026683797,32.4,31.3,93.1,40.0,28.6,Sud,14
54,Molise,2022,13.66666666666667,367.0,11.6,12.3,63.2,18.9,0.0,5.1,,39.740099009900995,31.9,1.95,39.9,45.0,7.6,5.2,63.1,4.1,32.4,21700.12525238745,66.3,56.8,40.6,9.7,24.9135026683797,32.4,31.3,93.1,25.0,28.6,Sud,14
55,Piemonte,2018,17.7502952787939,498.0,3.3,3.9,64.4,23.0,0.5,14.1,0.32485661825589357,22.458765706768595,21.2,2.24,30.4,34.5,13.5,17.7,62.9,36.9,26.6,31658.90647123894,64.1,57.5,39.4,9.0,13.8395978806735,26.6,24.8,87.3,35.3,25.5,Nord-ovest,1
56,Piemonte,2019,16.28571428571428,496.0,3.6,2.7,63.6,23.6,0.6,12.3,0.13508341400815002,17.256391684260812,22.7,2.23,31.8,34.7,10.7,18.3,63.5,36.3,26.6,31931.606685571427,66.5,57.1,30.6,9.3,13.6090310670952,26.6,30.6,85.6,35.3,15.7,Nord-ovest,1
57,Piemonte,2020,16.28571428571428,486.0,8.7,4.2,64.7,23.6,0.7,7.5,0.5439754268167193,20.40742929875751,23.6,2.17,31.8,34.7,12.1,16.3,63.8,32.5,26.6,29551.425602944255,64.7,59.0,32.8,7.2,13.369144123362,26.6,32.2,84.2,35.3,15.7,Nord-ovest,1
58,Piemonte,2021,16.28571428571428,486.0,9.8,3.8,70.2,23.6,0.7,7.9,0.3653938248900336,18.71767996066658,23.6,2.17,35.9,40.6,11.4,16.3,64.2,9.6,26.6,31948.79936374719,64.5,59.3,31.7,10.8,13.6176699485911,26.6,32.2,77.2,35.3,15.7,Nord-ovest,1
59,Piemonte,2022,16.28571428571428,486.0,9.8,3.8,70.2,23.6,0.7,7.9,0.3653938248900336,18.71767996066658,23.6,2.17,35.7,38.9,11.4,16.3,64.2,9.6,26.6,31948.79936374719,64.5,59.3,31.7,10.8,13.6176699485911,26.6,32.2,77.2,27.906976744186046,15.7,Nord-ovest,1
60,Provincia Autonoma di Bolzano/Bozen,2018,12.88187863508805,500.0,7.3,0.7,74.1,20.2,0.8,7.6,0.5009775324101152,15.658104340900039,13.0,2.55,41.4,32.7,11.0,60.3,69.0,42.9,21.9,47375.79406622517,72.2,70.3,37.0,11.0,10.5075803667605,21.9,21.8,71.3,44.4,25.7,Nord-est,21
61,Provincia Autonoma di Bolzano/Bozen,2019,11.5,497.0,4.4,1.7,70.5,23.6,0.2,9.2,0.18326463963757583,13.490404523013218,14.0,2.58,43.6,34.3,11.6,58.5,68.8,43.3,22.6,48548.4627996237,73.2,71.1,41.6,10.5,11.385261018597,22.6,23.1,72.4,44.4,25.7,Nord-est,21
62,Provincia Autonoma di Bolzano/Bozen,2020,11.5,464.0,6.4,1.2,72.8,23.6,0.6,4.6,0.7428523673776383,11.665317945889667,15.0,2.6,43.6,34.3,13.6,55.0,70.5,38.7,22.7,44888.829653428256,70.3,67.9,38.3,8.1,13.9033273265079,22.7,19.1,69.4,44.4,25.7,Nord-est,21
63,Provincia Autonoma di Bolzano/Bozen,2021,11.5,464.0,8.4,1.7,74.0,23.6,0.6,4.3,0.7415825742926693,12.23471246422066,15.0,2.6,48.4,42.4,12.9,55.0,69.7,9.4,22.9,48043.785663169736,71.2,68.9,30.0,8.9,13.8570035946662,22.9,19.1,68.8,44.4,25.7,Nord-est,21
