territorio,anno,area,codice_istat,Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Liguria,2020,Nord-ovest,7,58.9,69.5,58.5,50.2,65.1,95.5,68.9,66.3,57.2,51.4,66.3,45.7,77.6,56.9,56.4,66.0,36.9,70.1,33.1,12.14285714285714,520.0,5.9,3.1,63.8,22.0,0.6,5.5,0.5061327472316121,26.85285059569421,18.6,2.73,32.4,35.0,10.0,22.8,69.4,32.4,26.5,29886.30194979299,66.2,59.8,36.8,9.3,13.463432345217,26.5,31.7,76.1,25.0,19.4
Liguria,2021,Nord-ovest,7,56.6,68.4,52.3,50.8,65.1,93.0,72.6,65.8,51.7,51.4,60.1,39.7,53.3,60.2,62.5,69.7,34.6,67.4,33.1,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,37.5,42.2,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,31.7,70.8,25.0,19.4
Liguria,2022,Nord-ovest,7,56.8,68.4,52.2,51.4,65.1,93.0,72.6,65.8,51.7,51.4,59.3,39.7,53.3,60.2,62.5,69.7,34.6,67.4,35.4,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,38.6,42.7,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,31.7,70.8,26.666666666666668,19.4
Lombardia,2018,Nord-ovest,3,58.9,67.1,60.4,50.4,45.3,96.4,77.0,53.1,76.3,48.5,71.7,39.2,81.7,72.2,54.0,69.7,27.2,70.2,45.3,21.32356286726164,481.0,4.1,3.0,72.5,24.2,0.4,14.1,0.22103268355033487,16.569047205076938,18.3,2.61,27.2,29.4,13.1,22.8,65.1,39.6,23.3,39552.491021402144,67.4,58.0,39.9,9.5,15.9339813078905,23.3,30.0,79.8,29.8,24.7
Lombardia,2019,Nord-ovest,3,60.2,69.5,60.8,51.6,49.3,96.0,80.6,58.5,72.6,47.0,70.3,43.3,80.4,72.5,54.8,70.4,28.1,74.0,45.3,19.76666666666667,483.0,4.9,3.0,71.7,26.6,0.4,11.7,0.23474502142488468,20.49078484158211,19.1,2.59,29.1,30.3,11.3,23.2,64.6,38.6,23.6,39902.70880190035,67.0,58.6,40.0,9.7,15.7078268820812,23.6,31.7,83.9,29.8,24.7
Lombardia,2020,Nord-ovest,3,59.5,73.2,56.6,50.9,51.3,96.4,80.0,69.2,76.8,41.7,70.3,37.0,77.3,69.1,55.8,63.8,29.5,72.1,45.3,19.76666666666667,468.0,4.4,2.8,70.5,26.6,0.4,6.9,0.19607818146898442,17.27706448196849,21.9,2.52,29.1,30.3,13.1,20.1,65.0,35.2,23.6,37467.12109610675,65.2,59.7,39.0,7.9,14.9106183338043,23.6,30.5,82.5,29.8,24.7
Lombardia,2021,Nord-ovest,3,58.3,71.1,53.1,52.5,51.3,96.6,81.5,66.6,67.5,41.7,64.9,40.8,52.3,73.4,56.2,69.9,32.2,69.5,45.3,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,33.6,36.6,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,30.5,77.3,29.8,24.7
Lombardia,2022,Nord-ovest,3,58.3,71.1,53.4,52.2,51.3,96.6,81.5,66.6,67.5,41.7,66.2,40.8,52.3,73.4,56.2,69.9,32.2,69.5,44.1,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,32.9,34.7,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,30.5,77.3,28.865979381443296,24.7
Marche,2018,Centro,11,58.7,70.6,55.2,52.1,62.4,95.4,69.6,54.0,78.1,39.5,71.2,46.3,73.7,53.2,54.8,59.8,32.9,70.7,50.3,12.54492635792983,532.0,5.2,4.0,67.9,21.2,0.6,11.0,0.12653388060642629,19.39244635628386,20.2,2.36,27.5,30.1,9.7,22.8,64.8,31.6,27.2,27557.569125582617,64.9,59.2,31.9,8.9,16.4142977641269,27.2,28.7,83.4,37.5,19.4
Marche,2019,Centro,11,60.3,73.0,55.5,54.0,63.6,94.3,70.1,66.6,74.0,36.2,71.2,49.6,76.6,54.0,52.8,61.2,36.0,78.6,50.3,12.45454545454546,525.0,5.6,5.8,67.8,21.5,0.3,9.6,0.1283520748754664,24.38370662284136,23.6,2.39,28.3,29.3,8.5,23.7,65.4,34.2,27.4,28134.531175074182,66.4,57.6,35.5,8.2,14.8227855448157,27.4,30.5,95.5,37.5,19.4
